"Carimbo de data/hora","Gênero","Idade","Ocupação","Grau de escolaridade","Você consome café?","Razões pelas quais você não consome café","Quais atributos você observa na compra?","Qual sua forma preferida de consumir café?","Você julga possuir conhecimento avançado sobre café ? (conhecimento sobre as fases do café, diferenciar tonalidades de sabor e aroma, combinar sabores, etc.)","Em  qual (quais) período(s) você consome café?","Qual a quantidade de xícaras de café que você geralmente consome por dia?","Principal local de consumo","Em que tipo de loja você compra seu café?","Qual a intensidade ideal para cada uma dessas características ? [Aroma]","Qual a intensidade ideal para cada uma dessas características ? [Sabor]","Qual a intensidade ideal para cada uma dessas características ? [Cor]","Qual a intensidade ideal para cada uma dessas características ? [Suavidade]","Qual a intensidade ideal para cada uma dessas características ? [Doçura]","Consumo café por hábito ","Consumo café pelo gosto/aroma","Considero que o ato de beber café representa status","Consumo café por prazer ","Consumo café para relaxar","Consumo  café para ter disposição para trabalho ou estudo","Consumo café no intervalo do trabalho ou estudo","Consumo café para interagir com amigos","Associo o consumo de café com o ato de fumar ","Considero importante a presença de certificação de produto orgânico ","Considero importante a presença de  certificação de origem sustentável","Considero importante a presença de  certificação de Fair Trade (comércio justo)"
"2022/06/22 2:08:21 PM GMT-3","Masculino","Entre 18 e 24","Estudante","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Local de consumo","Café com leite","Não","Manhã","1","Em casa","Varejo comum","Moderadamente forte","Neutro","Neutro","Moderadamente forte","Moderadamente forte","4","4","5","3","5","5","5","5","5","5","2","2"
"2022/06/22 2:11:31 PM GMT-3","Masculino","Entre 18 e 24","Estudante","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Propaganda;Local de consumo","Café com leite","Não","Manhã","1","Em casa","Varejo comum","Muito forte","Muito forte","Muito forte","Muito forte","Muito forte","5","5","5","5","5","5","5","5","5","1","1","1"
"2022/06/22 2:12:02 PM GMT-3","Feminino","Entre 18 e 24","Estudante","Superior Incompleto","Sim","","Marca;Qualidade;Preço","Coado/ filtrado","Não","Manhã;A tarde","3","Em casa","Varejo comum","Moderadamente forte","Muito forte","Muito forte","Neutro","Moderadamente forte","5","5","3","5","5","4","1","4","1","2","4","3"
"2022/06/22 2:14:05 PM GMT-3","Masculino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Sim","","Marca;Qualidade;Embalagem;Local de consumo","Coado/ filtrado","Não","Manhã;Antes do almoço;A tarde;Noite","4","Em casa","Varejo comum","Neutro","Moderadamente forte","Neutro","Neutro","Moderadamente fraco","1","1","3","1","1","1","5","2","5","5","5","5"
"2022/06/22 2:15:11 PM GMT-3","Masculino","Entre 18 e 24","Estudante","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Local de Origem","Café com leite","Não","Manhã","1","Em casa","Varejo comum","Moderadamente fraco","Moderadamente fraco","Moderadamente fraco","Moderadamente fraco","Moderadamente fraco","3","3","4","3","3","2","4","5","4","3","2","2"
"2022/06/22 2:15:46 PM GMT-3","Masculino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Não","Não consumo por falta de hábito;Não consumo pois sinto azia","Preço;Local de consumo","Expresso","Não","A tarde","1","Outros","Varejo comum","Moderadamente forte","Muito forte","Moderadamente fraco","Neutro","Muito fraco","5","1","3","1","2","3","5","2","4","1","1","1"
"2022/06/22 2:16:47 PM GMT-3","Masculino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Sim","","Preço;Embalagem","Cappuccino","Não","Manhã;Após o almoço;A tarde","1","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Moderadamente fraco","1","5","5","3","5","1","2","2","5","4","2","3"
"2022/06/22 2:17:00 PM GMT-3","Masculino","Entre 18 e 24","Estudante","Superior Incompleto","Sim","","Preço","Coado/ filtrado","Não","Manhã","1","Em casa","Varejo comum","Neutro","Moderadamente forte","Moderadamente fraco","Moderadamente fraco","Moderadamente fraco","5","1","5","1","1","5","5","5","5","3","3","3"
"2022/06/22 2:17:12 PM GMT-3","Feminino","Entre 25 e 30","Autônomo(a)","Superior Completo","Sim","","Marca;Qualidade;Preço;Embalagem","Coado/ filtrado","Não","Manhã;Após o almoço","1","No trabalho","Varejo comum","Moderadamente forte","Neutro","Neutro","Moderadamente forte","Muito fraco","4","3","4","3","3","1","2","3","5","3","3","3"
"2022/06/22 2:17:32 PM GMT-3","Feminino","Entre 18 e 24","Estudante","Superior Incompleto","Sim","","Marca;Qualidade;Preço","Coado/ filtrado","Não","Manhã;A tarde","3","Em casa","Varejo comum","Moderadamente forte","Neutro","Neutro","Moderadamente fraco","Moderadamente forte","1","1","3","3","5","1","2","5","5","3","2","2"
"2022/06/22 2:18:43 PM GMT-3","Feminino","Entre 25 e 30","Autônomo(a)","Superior Completo","Sim","","Marca","Cappuccino","Não","Manhã","2","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Neutro","1","3","5","3","3","3","3","3","5","5","5","5"
"2022/06/22 2:21:13 PM GMT-3","Masculino","Entre 18 e 24","Estudante","Superior Incompleto","Sim","","Marca;Preço;Local de consumo","Expresso","Não","Manhã;Após o almoço;A tarde","4","Em casa","Varejo comum","Moderadamente forte","Muito forte","Moderadamente forte","Moderadamente fraco","Moderadamente forte","1","2","4","2","5","1","1","4","5","4","4","4"
"2022/06/22 2:23:26 PM GMT-3","Feminino","Entre 31 e 40","Autônomo(a)","2º grau completo","Sim","","Marca","Coado/ filtrado","Não","Manhã;A tarde;Noite","3","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Neutro","2","4","5","4","5","5","5","5","5","1","1","1"
"2022/06/22 2:26:17 PM GMT-3","Masculino","Entre 18 e 24","Estudante","Superior Incompleto","Não","Não gosto do sabor/aroma;Não gosto do sabor residual;Não consumo por falta de hábito;Não consumo pois sinto azia;Não consumo pois sinto dor de cabeça;Não consumo pois acredito que faça mal à saúde;Outros motivos","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 2:28:04 PM GMT-3","Masculino","Entre 25 e 30","Estagiário(a)","Superior Incompleto","Sim","","Qualidade;Preço;Embalagem;Local de Origem","Coado/ filtrado","Não","Manhã;Antes do almoço;Após o almoço;A tarde","4","No trabalho","Varejo comum","Muito forte","Muito forte","Moderadamente forte","Neutro","Moderadamente fraco","1","2","4","2","2","3","2","3","5","4","2","2"
"2022/06/22 2:28:13 PM GMT-3","Masculino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Não","Não gosto do sabor/aroma;Não gosto do sabor residual","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 2:28:43 PM GMT-3","Feminino","Entre 41 e 50","Outra","2º grau completo","Sim","","Qualidade;Preço","Café com leite","Sim","Manhã;A tarde","3","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Moderadamente forte","4","4","5","1","1","3","2","1","5","4","3","1"
"2022/06/22 2:32:04 PM GMT-3","Masculino","Entre 25 e 30","Estagiário(a)","Superior Incompleto","Não","Não consumo por falta de hábito;Não consumo pois sinto azia","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 2:32:54 PM GMT-3","Feminino","Entre 18 e 24","Estudante","Superior Incompleto","Sim","","Marca;Qualidade;Preço","Café com leite","Não","A tarde","1","Em casa","Varejo comum","Muito forte","Muito forte","Muito forte","Moderadamente forte","Moderadamente fraco","3","3","5","5","5","5","5","5","5","3","1","3"
"2022/06/22 2:36:02 PM GMT-3","Masculino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Embalagem;Local de consumo","Cappuccino","Não","Manhã;A tarde","Mais de 5","No trabalho","Varejo comum","Moderadamente forte","Moderadamente forte","Neutro","Moderadamente fraco","Moderadamente forte","4","1","5","1","1","1","1","1","5","5","5","5"
"2022/06/22 2:36:30 PM GMT-3","Feminino","Entre 18 e 24","Estudante","Superior Incompleto","Não","Não gosto do sabor residual;Não consumo por falta de hábito;Não consumo pois sinto azia","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 2:37:52 PM GMT-3","Masculino","Entre 31 e 40","Funcionário(a) de empresa privada","Superior Completo","Sim","","Qualidade;Local de consumo;Selo de Qualidade;Local de Origem","Coado/ filtrado","Não","Manhã;A tarde","2","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Neutro","1","1","4","1","1","3","1","4","5","2","2","2"
"2022/06/22 2:38:10 PM GMT-3","Feminino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Sim","","Marca;Qualidade;Preço","Café com leite","Não","Manhã","1","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Neutro","Moderadamente forte","Moderadamente forte","4","1","5","2","4","5","5","3","5","5","5","5"
"2022/06/22 2:41:30 PM GMT-3","Feminino","Entre 25 e 30","Funcionário(a) de empresa privada","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Embalagem","Coado/ filtrado","Não","Manhã","1","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Moderadamente fraco","5","2","5","2","5","5","5","5","5","4","4","4"
"2022/06/22 2:42:21 PM GMT-3","Masculino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Embalagem","Coado/ filtrado","Não","Manhã;Após o almoço","1","Em casa","Varejo especializado","Muito forte","Muito forte","Muito forte","Neutro","Muito fraco","4","2","4","1","5","1","2","5","5","5","5","5"
"2022/06/22 2:42:52 PM GMT-3","Feminino","Entre 31 e 40","Trabalho exclusivamente com afazeres domésticos","Superior Completo","Sim","","Marca;Qualidade;Preço","Coado/ filtrado","Não","Manhã","2","Em casa","Varejo comum","Moderadamente fraco","Moderadamente fraco","Moderadamente fraco","Moderadamente fraco","Moderadamente fraco","5","5","3","4","5","5","5","5","5","3","3","3"
"2022/06/22 2:49:15 PM GMT-3","Feminino","Entre 18 e 24","Estudante","Outra","Sim","","Marca;Qualidade;Preço","Café com leite","Não","Manhã","3","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Muito forte","Neutro","Muito forte","1","5","5","3","5","1","5","4","5","4","3","2"
"2022/06/22 2:54:28 PM GMT-3","Feminino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Não","Não gosto do sabor/aroma;Não consumo pois sinto azia;Não consumo pois acredito que faça mal à saúde","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 2:56:58 PM GMT-3","Feminino","Entre 18 e 24","Estudante","Superior Incompleto","Não","Não gosto do sabor/aroma;Não consumo por falta de hábito;Não consumo pois sinto dor de cabeça","","","","","","","","","","","","","","","","","","","","","","","",""
